123456789012,Smith,John,1980-01-01,555-1234,john.smith@example.com,1001,01,100.00
123456789013,Doe,Jane,1985-02-02,555-1235,jane.doe@example.com,1002,02,200.00
123456789014,Brown,Charlie,1990-03-03,555-1236,charlie.brown@example.com,1003,03,150.00
123456789015,Johnson,Emily,1975-04-04,555-1237,emily.johnson@example.com,1004,04,250.00
123456789016,Williams,Michael,1965-05-05,555-1238,michael.williams@example.com,1005,05,300.00
123456789017,Taylor,Sarah,1995-06-06,555-1239,sarah.taylor@example.com,1006,06,180.00
123456789018,Anderson,David,1982-07-07,555-1240,david.anderson@example.com,1007,07,220.00
123456789019,Thomas,Nancy,1988-08-08,555-1241,nancy.thomas@example.com,1008,08,140.00
123456789020,Jackson,Paul,1992-09-09,555-1242,paul.jackson@example.com,1009,09,270.00
123456789021,White,Laura,1981-10-10,555-1243,laura.white@example.com,1010,10,190.00
